CdStationMesureEauxSurface;LbStationMesureEauxSurface;DtAnaTemp;HrAnaTemp;CdParametre;LbLongParamètre;CdFractionAnalysee;LbFractionAnalysee;RsAneTemp;CdUniteMesure;SymUniteMesure;CdStatutAnaTemp;MnemoStatutAna;CdQualAna;LbQualAna;INTProd;NomProducteur;INTGest;NomGest
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;01:00:00;1301;Température de l'Eau;23;Eau brute;7.3930001258850098;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;02:00:00;1301;Température de l'Eau;23;Eau brute;7.3930001258850098;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;03:00:00;1301;Température de l'Eau;23;Eau brute;7.4190001487731898;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;04:00:00;1301;Température de l'Eau;23;Eau brute;7.4439997673034703;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;05:00:00;1301;Température de l'Eau;23;Eau brute;7.4939999580383301;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;06:00:00;1301;Température de l'Eau;23;Eau brute;7.5190000534057599;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;07:00:00;1301;Température de l'Eau;23;Eau brute;7.5689997673034703;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;08:00:00;1301;Température de l'Eau;23;Eau brute;7.5939998626709002;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;09:00:00;1301;Température de l'Eau;23;Eau brute;7.5689997673034703;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;10:00:00;1301;Température de l'Eau;23;Eau brute;7.5939998626709002;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;11:00:00;1301;Température de l'Eau;23;Eau brute;7.6449999809265101;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;12:00:00;1301;Température de l'Eau;23;Eau brute;7.7449998855590803;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;13:00:00;1301;Température de l'Eau;23;Eau brute;7.9200000762939498;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;14:00:00;1301;Température de l'Eau;23;Eau brute;8.0699996948242205;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;15:00:00;1301;Température de l'Eau;23;Eau brute;8.1949996948242205;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;16:00:00;1301;Température de l'Eau;23;Eau brute;8.2700004577636701;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;17:00:00;1301;Température de l'Eau;23;Eau brute;8.1949996948242205;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;18:00:00;1301;Température de l'Eau;23;Eau brute;8.1199998855590803;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;19:00:00;1301;Température de l'Eau;23;Eau brute;8.0450000762939506;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;20:00:00;1301;Température de l'Eau;23;Eau brute;7.9949998855590803;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;21:00:00;1301;Température de l'Eau;23;Eau brute;7.7950000762939498;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;22:00:00;1301;Température de l'Eau;23;Eau brute;7.6189999580383301;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;02/01/2014;23:00:00;1301;Température de l'Eau;23;Eau brute;7.4190001487731898;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;00:00:00;1301;Température de l'Eau;23;Eau brute;7.2420001029968297;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;01:00:00;1301;Température de l'Eau;23;Eau brute;7.0409998893737802;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;02:00:00;1301;Température de l'Eau;23;Eau brute;6.8390002250671396;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;03:00:00;1301;Température de l'Eau;23;Eau brute;6.6609997749328604;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;04:00:00;1301;Température de l'Eau;23;Eau brute;6.4580001831054696;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;05:00:00;1301;Température de l'Eau;23;Eau brute;6.3309998512268102;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;06:00:00;1301;Température de l'Eau;23;Eau brute;6.3060002326965297;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;07:00:00;1301;Température de l'Eau;23;Eau brute;6.3569998741149902;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;08:00:00;1301;Température de l'Eau;23;Eau brute;6.3569998741149902;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;09:00:00;1301;Température de l'Eau;23;Eau brute;6.3819999694824201;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;10:00:00;1301;Température de l'Eau;23;Eau brute;6.4330000877380398;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;11:00:00;1301;Température de l'Eau;23;Eau brute;6.5349998474121103;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;03/01/2014;12:00:00;1301;Température de l'Eau;23;Eau brute;6.73699998855591;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
